Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
Haystacks,http://onlinecollection.nationalgallery.ie/objects/2990/haystacks?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=660,N/A,Oil on board,32 x 45 cm,NGI.1545,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Gathering Kelp,http://onlinecollection.nationalgallery.ie/objects/2991/gathering-kelp?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=661,N/A,Oil on board,33 x 61 cm,NGI.1546,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Pastures with Cattle Resting,http://onlinecollection.nationalgallery.ie/objects/2992/pastures-with-cattle-resting?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=662,N/A,Oil on board,37 x 56 cm,NGI.1547,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Sandy Shore,http://onlinecollection.nationalgallery.ie/objects/2993/sandy-shore?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=663,N/A,Oil on canvas,24 x 39 cm,NGI.1548,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Before the Start,http://onlinecollection.nationalgallery.ie/objects/2994/before-the-start?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=664,1915,Oil on canvas,46 x 61 cm,NGI.1549,"Bequeathed, Mrs J. Egan, through the Friends of the National Collections of Ireland, 1960"
"In the Church of San Costanzo, Capri",http://onlinecollection.nationalgallery.ie/objects/2995/in-the-church-of-san-costanzo-capri?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=665,1866,Oil on canvas,74 x 60 cm,NGI.155,"Purchased, 1873"
Many Ferries,http://onlinecollection.nationalgallery.ie/objects/2996/many-ferries?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=666,1948,Oil on canvas,51 x 69 cm,NGI.1550,"Bequeathed, Mrs J. Egan, through the Friends of the National Collections of Ireland, 1960"
The Black Bottle,http://onlinecollection.nationalgallery.ie/objects/2997/the-black-bottle?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=667,N/A,Oil on canvas,51 x 61 cm,NGI.1551,"Presented, Haverty Trust, 1960"
The Canal Lock House,http://onlinecollection.nationalgallery.ie/objects/2998/the-canal-lock-house?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=668,N/A,Oil on board,33 x 44 cm,NGI.1552,"Presented, Haverty Trust, 1960"
Sailing Boat,http://onlinecollection.nationalgallery.ie/objects/2999/sailing-boat?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=669,N/A,Oil on canvas,18 x 25 cm,NGI.1553,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
The Spreading Tree,http://onlinecollection.nationalgallery.ie/objects/3000/the-spreading-tree?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=670,N/A,Oil on canvas,16 x 26 cm,NGI.1554,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Trees on a River Bank,http://onlinecollection.nationalgallery.ie/objects/3001/trees-on-a-river-bank?ctx=dcad6a8a-69bc-4a70-a3f3-b714ae4b1a5e&idx=671,N/A,Oil on canvas,19 x 24 cm,NGI.1555,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
