Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
A Woodland Path,http://onlinecollection.nationalgallery.ie/objects/2980/a-woodland-path?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=650,N/A,Oil on board,30 x 41 cm,NGI.1536,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
"A View of a Venetian Palazzo, with a Red Sail",http://onlinecollection.nationalgallery.ie/objects/2981/a-view-of-a-venetian-palazzo-with-a-red-sail?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=651,N/A,Oil on board,37 x 46 cm,NGI.1537,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Pastures near the Sea,http://onlinecollection.nationalgallery.ie/objects/2982/pastures-near-the-sea?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=652,N/A,Oil on board,29 x 45 cm,NGI.1538,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Hay Carts (Sketch),http://onlinecollection.nationalgallery.ie/objects/2983/hay-carts-sketch?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=653,N/A,Oil on board,34 x 46 cm,NGI.1539,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
The Judgement of Paris,http://onlinecollection.nationalgallery.ie/objects/2984/the-judgement-of-paris?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=654,late 18th century/early 19th century,Oil on canvas,148.2 x 194.5 cm,NGI.154,"Presented, Mr W.L. Browne, 1864"
Trees and Rock (Sketch),http://onlinecollection.nationalgallery.ie/objects/2985/trees-and-rock-sketch?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=655,N/A,Oil on board,32 x 45 cm,NGI.1540,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Pastures under Trees,http://onlinecollection.nationalgallery.ie/objects/2986/pastures-under-trees?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=656,N/A,Oil on board,36 x 50 cm,NGI.1541,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Grasscocks under Trees,http://onlinecollection.nationalgallery.ie/objects/2987/grasscocks-under-trees?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=657,N/A,Oil on board,38 x 53 cm,NGI.1542,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Landscape with Trees,http://onlinecollection.nationalgallery.ie/objects/2988/landscape-with-trees?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=658,N/A,Oil on board,31 x 45 cm,NGI.1543,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Lilies and Butterflies,http://onlinecollection.nationalgallery.ie/objects/2989/lilies-and-butterflies?ctx=c9744452-5dbf-4c44-aed0-853f0028da73&idx=659,N/A,Oil on board,40 x 33 cm,NGI.1544,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
